Статистика популярности языков программирования на acmp.ru
количество уникальных пар пользователь-задача для всех попыток сдать решение на языке в течение месяца
month;C++;Python;Java;Pascal;C#;JavaScript;Go;Basic;all
="01.2007";22;0;0;9;0;0;0;0;29
="02.2007";136;0;0;84;0;0;0;0;215
="03.2007";180;0;0;633;0;0;0;0;809
="04.2007";131;0;0;274;0;0;0;0;403
="05.2007";261;0;0;567;0;0;0;0;816
="06.2007";99;0;0;668;0;0;0;0;757
="07.2007";788;0;20;914;0;0;0;1;1700
="08.2007";340;0;37;450;0;0;0;6;811
="09.2007";500;0;14;1344;0;0;0;19;1842
="10.2007";860;0;14;2454;0;0;0;33;3302
="11.2007";1182;0;48;3297;0;0;0;126;4556
="12.2007";729;0;11;3399;0;0;0;45;4124
="01.2008";977;0;109;4239;0;0;0;26;5299
="02.2008";1385;0;140;5816;0;0;0;33;7313
="03.2008";962;0;76;5256;0;0;0;36;6278
="04.2008";1183;0;77;4175;0;0;0;76;5416
="05.2008";1507;0;97;4252;0;0;0;40;5816
="06.2008";1026;0;119;2798;0;0;0;17;3909
="07.2008";1064;0;81;1818;0;0;0;5;2923
="08.2008";1177;0;86;1466;0;0;0;4;2694
="09.2008";881;0;27;3380;0;0;0;33;4262
="10.2008";2008;0;343;8840;0;0;0;80;11109
="11.2008";3732;0;403;10063;0;0;0;234;14238
="12.2008";2831;0;188;9875;0;0;0;118;12822
="01.2009";2878;0;229;6916;0;0;0;40;9947
="02.2009";3852;0;145;8921;0;0;0;67;12789
="03.2009";5311;0;131;8605;0;0;0;74;13991
="04.2009";4738;0;267;5066;0;0;0;82;9983
="05.2009";4269;0;310;5147;0;0;0;107;9671
="06.2009";4620;0;317;4478;0;0;0;52;9337
="07.2009";3116;0;297;2601;0;0;0;38;5980
="08.2009";2747;0;288;2662;0;0;0;37;5649
="09.2009";3849;0;409;6774;0;0;0;61;10921
="10.2009";5873;0;741;11521;0;0;0;242;18049
="11.2009";5588;0;1032;11020;0;0;0;187;17619
="12.2009";5439;0;782;11427;0;0;0;192;17624
="01.2010";5134;0;1009;11000;0;0;0;178;17102
="02.2010";6388;0;1145;7410;0;0;0;101;14855
="03.2010";6695;0;1664;9607;0;0;0;125;17827
="04.2010";4402;0;653;7040;0;0;0;86;12019
="05.2010";3623;0;454;6452;0;0;0;102;10499
="06.2010";3114;0;259;6932;0;0;0;121;10278
="07.2010";4489;0;523;3875;0;0;0;65;8840
="08.2010";2970;0;400;4106;0;0;0;103;7501
="09.2010";4527;0;623;6834;0;0;0;96;11903
="10.2010";8141;0;1116;13982;0;0;0;211;23070
="11.2010";9622;0;973;16426;0;0;0;227;26858
="12.2010";7772;0;888;14229;0;0;0;107;22759
="01.2011";6942;0;778;12129;0;0;0;146;19743
="02.2011";8880;0;387;12382;0;0;0;109;21411
="03.2011";9496;0;545;11193;0;0;0;82;20986
="04.2011";7469;0;490;8569;0;0;0;75;16375
="05.2011";4887;0;439;5603;0;0;0;44;10821
="06.2011";4755;0;459;6976;0;0;0;72;12096
="07.2011";5903;0;686;3420;0;0;0;34;9900
="08.2011";7201;0;701;5946;0;0;0;54;13707
