Статистика популярности языков программирования на acmp.ru
количество уникальных пользователей, пытавшихся сдать решение на языке в течение месяца
month;C++;Python;Java;Pascal;C#;JavaScript;Go;Basic;all
="01.2007";5;0;0;7;0;0;0;0;10
="02.2007";17;0;0;20;0;0;0;0;32
="03.2007";17;0;0;62;0;0;0;0;74
="04.2007";14;0;0;27;0;0;0;0;38
="05.2007";19;0;0;48;0;0;0;0;61
="06.2007";18;0;0;38;0;0;0;0;47
="07.2007";31;0;2;51;0;0;0;1;65
="08.2007";30;0;7;37;0;0;0;3;56
="09.2007";42;0;9;136;0;0;0;9;161
="10.2007";69;0;5;273;0;0;0;24;323
="11.2007";87;0;9;310;0;0;0;32;361
="12.2007";70;0;7;301;0;0;0;19;346
="01.2008";87;0;10;314;0;0;0;16;376
="02.2008";114;0;19;396;0;0;0;21;485
="03.2008";98;0;21;384;0;0;0;22;459
="04.2008";109;0;19;389;0;0;0;28;460
="05.2008";126;0;19;337;0;0;0;22;426
="06.2008";87;0;10;239;0;0;0;12;304
="07.2008";86;0;15;126;0;0;0;5;197
="08.2008";78;0;11;111;0;0;0;4;171
="09.2008";144;0;11;410;0;0;0;28;524
="10.2008";216;0;26;826;0;0;0;65;990
="11.2008";266;0;36;1098;0;0;0;103;1327
="12.2008";261;0;26;1009;0;0;0;59;1214
="01.2009";241;0;31;742;0;0;0;22;937
="02.2009";395;0;24;867;0;0;0;53;1189
="03.2009";408;0;29;801;0;0;0;28;1135
="04.2009";396;0;43;758;0;0;0;28;1059
="05.2009";316;0;32;626;0;0;0;36;890
="06.2009";282;0;26;443;0;0;0;24;667
="07.2009";194;0;25;243;0;0;0;14;414
="08.2009";223;0;32;253;0;0;0;10;453
="09.2009";403;0;59;958;0;0;0;51;1297
="10.2009";588;0;91;1613;0;0;0;113;2126
="11.2009";565;0;114;1337;0;0;0;76;1875
="12.2009";617;0;73;1309;0;0;0;90;1878
="01.2010";484;0;64;1166;0;0;0;60;1594
="02.2010";580;0;121;1111;0;0;0;67;1676
="03.2010";650;0;129;1221;0;0;0;63;1829
="04.2010";555;0;77;1014;0;0;0;45;1530
="05.2010";414;0;67;906;0;0;0;47;1296
="06.2010";327;0;44;686;0;0;0;61;976
="07.2010";306;0;51;357;0;0;0;15;635
="08.2010";261;0;60;400;0;0;0;20;647
="09.2010";644;0;83;1169;0;0;0;57;1769
="10.2010";1027;0;119;2208;0;0;0;145;3125
="11.2010";1087;0;123;2129;0;0;0;137;3098
="12.2010";984;0;97;1716;0;0;0;78;2604
="01.2011";803;0;60;1489;0;0;0;57;2176
="02.2011";860;0;52;1603;0;0;0;89;2281
="03.2011";946;0;80;1470;0;0;0;52;2268
="04.2011";846;0;87;1290;0;0;0;43;2035
="05.2011";669;0;67;862;0;0;0;35;1472
="06.2011";511;0;64;702;0;0;0;42;1167
="07.2011";475;0;81;384;0;0;0;10;821
="08.2011";499;0;75;482;0;0;0;14;933
